barrio,ambientes,metro_cuadrado,precio
Almagro,3,54,124500
Almagro,4,74,239000
Almagro,4,85,189500
Almagro,4,78,167000
Almagro,2,48,178000
Almagro,2,39,90000
Almagro,2,48,153000
Almagro,1,30,115000
Almagro,2,48,173000
Almagro,2,32,80000
Almagro,2,48,158000
Almagro,2,48,148000
Almagro,2,48,188000
Almagro,2,48,168000
Almagro,2,50,150000
Almagro,2,48,163000
Almagro,2,48,183000
Almagro,3,46,119500
Almagro,3,60,215000
Almagro,4,57,170000
Almagro,3,68,205000
Almagro,3,63,200000
Almagro,4,70,184000
Almagro,5,198,320000
Almagro,1,49,100000
Almagro,2,50,123000
Almagro,2,72,85000
Almagro,3,50,140000
Almagro,3,54,137000
Almagro,3,70,184000
Almagro,3,99,240000
Almagro,3,80,240000
Almagro,3,70,227000
Almagro,3,66,178000
Almagro,4,102,255000
Almagro,4,103,180000
Almagro,5,100,239000
Almagro,2,32,68000
Almagro,2,37,135000
Almagro,2,35,105000
Almagro,4,91,200000
Almagro,3,35,105000
Almagro,3,61,133000
Almagro,4,120,280000
Almagro,5,173,540000
Almagro,4,95,240000
Almagro,4,67,172000
Almagro,4,114,235000
Almagro,4,95,240000
Almagro,2,50,109000
Almagro,2,33,89000
Almagro,2,45,101000
Almagro,2,41,97000
Almagro,3,52,130000
Almagro,3,50,138000
Almagro,3,49,153000
Almagro,3,81,250000
Almagro,3,75,165000
Almagro,3,70,170000
Almagro,4,106,400000
Almagro,3,85,220000
Almagro,4,118,350000
Almagro,4,124,215000
Almagro,3,85,220000
Almagro,3,74,220000
Almagro,2,40,135000
Almagro,2,42,130000
Almagro,2,35,86000
Almagro,3,143,180000
Almagro,3,66,180000
Almagro,3,60,230000
Almagro,3,80,217000
Almagro,3,52,143000
Almagro,3,105,300000
Almagro,3,68,215000
Almagro,3,51,165000
Almagro,3,80,217000
Almagro,4,95,350000
Almagro,5,1,380000
Almagro,2,44,158000
Almagro,1,43,98000
Almagro,1,35,102000
Almagro,3,60,185000
Almagro,4,171,340000
Almagro,4,93,187000
Almagro,2,44,105000
Almagro,2,37,92000
Almagro,2,50,115000
Almagro,2,32,75000
Almagro,3,67,154000
Almagro,3,74,183000
Almagro,3,69,169000
Almagro,3,70,169000
Almagro,3,59,173000
Almagro,3,55,155000
Almagro,4,96,269900
Almagro,4,87,220000
Almagro,2,48,117500
Almagro,2,48,166000
Almagro,2,47,109900
Almagro,3,74,148000
Almagro,2,44,149000
Almagro,3,114,395000
Almagro,3,63,165000
Almagro,4,75,175000
Almagro,1,27,74000
Almagro,3,78,175000
Almagro,1,29,105000
Almagro,2,36,95000
Almagro,2,68,140000
Almagro,2,53,122000
Almagro,2,32,85000
Almagro,3,76,199500
Almagro,3,89,195000
Almagro,3,89,195000
Almagro,3,100,180000
Almagro,3,50,140000
Almagro,3,110,160000
Almagro,3,80,230000
Almagro,3,65,202375
Almagro,3,72,150000
Almagro,3,55,120000
Almagro,3,60,139000
Almagro,4,95,230000
Almagro,4,100,180000
Almagro,4,100,180000
Almagro,4,85,285000
Almagro,4,94,287000
Almagro,4,124,220000
Almagro,4,72,180000
Almagro,4,70,184000
Almagro,4,97,200000
Almagro,4,101,250000
Almagro,5,178,351000
Almagro,6,189,315000
Almagro,6,160,265000
Almagro,2,42,130000
Almagro,2,35,82000
Almagro,2,45,101000
Almagro,2,36,78000
Almagro,3,80,216000
Almagro,3,80,216000
Almagro,3,105,300000
Almagro,3,60,230000
Almagro,3,68,215000
Almagro,3,61,133000
Almagro,4,97,217000
Almagro,2,35,110000
Almagro,2,47,205000
Almagro,2,35,90000
Almagro,2,40,121900
Almagro,2,24,80000
Almagro,2,38,88000
Almagro,2,40,93000
Almagro,2,43,133000
Almagro,3,70,168500
Almagro,3,35,105000
Almagro,3,75,215000
Almagro,3,35,105000
Almagro,3,47,89000
Almagro,3,46,148000
Almagro,3,70,160000
Almagro,3,59,165000
Almagro,4,102,260000
Almagro,4,124,220000
Almagro,4,79,189000
Almagro,4,89,218000
Almagro,4,89,290000
Almagro,4,54,144000
Almagro,1,22,59000
Almagro,2,48,129900
Almagro,3,70,184000
Almagro,3,35,109000
Almagro,3,58,99000
Almagro,4,151,349000
Almagro,2,39,155000
Almagro,2,31,73000
Almagro,2,41,120000
Almagro,2,41,97000
Almagro,2,48,178000
Almagro,3,55,155000
Almagro,3,55,125000
Almagro,3,54,138000
Almagro,3,80,230000
Almagro,4,77,175000
Almagro,4,90,150000
Almagro,4,220,400000
Almagro,4,80,224000
Almagro,4,118,268000
Almagro,2,50,99900
Almagro,2,43,98861
Almagro,2,41,97000
Almagro,2,45,101000
Almagro,2,33,92000
Almagro,2,30,79000
Almagro,3,68,172000
Almagro,3,67,154000
Almagro,3,85,128000
Almagro,3,50,138000
Almagro,3,70,170000
Almagro,3,63,240000
Almagro,3,49,153000
Almagro,3,52,130000
Almagro,4,124,215000
Almagro,4,118,350000
Almagro,4,106,400000
Almagro,4,107,205000
Almagro,6,138,420000
Almagro,2,33,92000
Almagro,2,40,102000
Almagro,2,58,190000
Almagro,2,56,160000
Almagro,2,40,83000
Almagro,3,70,198000
Almagro,3,65,190000
Almagro,3,52,130000
Almagro,3,51,145000
Almagro,3,60,220000
Almagro,4,92,261000
Almagro,4,92,261000
Almagro,4,90,250000
Almagro,3,63,128900
Almagro,2,30,83000
Almagro,2,40,94500
Almagro,2,44,100000
Almagro,3,45,110000
Almagro,4,80,200000
Almagro,2,33,90000
Almagro,2,27,63000
Almagro,3,58,195000
